Date,Open,High,Low,Close,Volume,MarCap,매도_금융투자,매수_금융투자,순매수_금융투자,매도_보험,매수_보험,순매수_보험,매도_투신,매수_투신,순매수_투신,매도_사모,매수_사모,순매수_사모,매도_은행,매수_은행,순매수_은행,매도_기타금융,매수_기타금융,순매수_기타금융,매도_연기금 등,매수_연기금 등,순매수_연기금 등,매도_기관합계,매수_기관합계,순매수_기관합계,매도_기타법인,매수_기타법인,순매수_기타법인,매도_개인,매수_개인,순매수_개인,매도_외국인,매수_외국인,순매수_외국인,매도_기타외국인,매수_기타외국인,순매수_기타외국인,매도_전체,매수_전체,순매수_전체,kalman_ma,target,r
2016-05-31,1962.47,1984.18,1958.16,1983.4,657045149,1255356335024149,7789528,5124443,-2665085,4425829,2486763,-1939066,4832175,4944317,112142,1519929,2876270,1356341,788329,177870,-610459,204362,248498,44136,4962620,6402683,1440063,24522772,22260844,-2261928,2910020,2004338,-905682,555086926,554484176,-602750,73758254,77318772,3560518,767177,977019,209842,657045149,657045149,0,1969.1796351965925,1.0,0.00823691605370927
2016-06-01,1976.87,1986.76,1975.82,1982.72,502290353,1255999301581078,8541469,3564283,-4977186,3651031,4035205,384174,4207135,3534416,-672719,1925093,1366503,-558590,629637,246835,-382802,296822,182657,-114165,4907992,5910816,1002824,24159179,18840715,-5318464,1966367,3368818,1402451,441193246,443020371,1827125,34062773,36291414,2228641,908788,769035,-139753,502290353,502290353,0,1970.4676613419958,1.0,-0.0003429044036303463
2016-06-02,1983.86,1988.0,1978.82,1985.11,474228118,1257911512069683,7897991,4193601,-3704390,3605467,3710570,105103,4694352,4064132,-630220,1980571,1666318,-314253,677915,451084,-226831,231948,118871,-113077,5412399,6906830,1494431,24500643,21111406,-3389237,9774234,2231415,-7542819,402151030,411011298,8860268,36929651,39147446,2217795,872560,726553,-146007,474228118,474228118,0,1971.8605126643336,1.0,0.0012046888546362786
2016-06-03,1991.58,1991.58,1979.66,1985.84,540858684,1258220250300847,4020038,8274915,4254877,2699664,19289861,16590197,3964015,2706485,-1257530,2602426,1509817,-1092609,328967,866230,537263,195740,111660,-84080,3790590,4799067,1008477,17601440,37558035,19956595,19527684,2332657,-17195027,464180041,465817983,1637942,38475229,34162150,-4313079,1074290,987859,-86431,540858684,540858684,0,1973.1903103063544,1.0,0.00036767020900474413
2016-06-07,1993.08,2011.67,1992.77,2011.63,481348413,1274446268204230,4692439,6997648,2305209,2862317,2162530,-699787,4488032,3047372,-1440660,1883974,1433944,-450030,610450,187942,-422508,199721,110608,-89113,4549249,6382951,1833702,19286182,20322995,1036813,3664890,2392709,-1272181,416990800,412391251,-4599549,40569242,45378840,4809598,837299,862618,25319,481348413,481348413,0,1976.8468827891097,1.0,0.01290334027625949
2016-06-08,2013.72,2027.09,2008.59,2027.08,497934899,1283948012910549,5707487,9177030,3469543,2343950,2340244,-3706,6000257,4332260,-1667997,1557488,1970306,412818,719815,205305,-514510,357489,81396,-276093,5963327,6814812,851485,22649813,24921353,2271540,3395044,3577592,182548,431572907,426909641,-4663266,39674270,41620998,1946728,642865,905315,262450,497934899,497934899,0,1981.6253041442312,-1.0,0.007650995177791873
2016-06-09,2028.02,2035.27,2012.14,2024.17,599680949,1282125841820936,11134722,16188799,5054077,6296960,4523916,-1773044,19521370,18258276,-1263094,3470980,3855020,384040,1992744,245962,-1746782,714198,271109,-443089,9256324,8658073,-598251,52387298,52001155,-386143,5467321,3589534,-1877787,489935096,490409450,474354,50781631,52631218,1849587,1109603,1049592,-60011,599680949,599680949,0,1985.672365017855,-1.0,-0.0014365938910074006
2016-06-10,2022.77,2022.77,2014.15,2017.63,404303014,1278075773664021,4445600,11515828,7070228,4207706,1646367,-2561339,8272984,5560970,-2712014,2374363,2336781,-37582,1435237,272604,-1162633,281435,98555,-182880,5487389,4869131,-618258,26504714,26300236,-204478,2190168,2353118,162950,345902989,340876614,-5026375,29098227,34147238,5049011,606916,625808,18892,404303014,404303014,0,1988.7123325519574,-1.0,-0.0032361847235018205
2016-06-13,2001.03,2001.79,1976.69,1979.06,443001846,1253317433719157,4806710,5908977,1102267,2333361,1009575,-1323786,5433204,4387968,-1045236,2519911,953091,-1566820,653904,143295,-510609,204171,111579,-92592,6023321,5348851,-674470,21974582,17863336,-4111246,1990493,2483167,492674,381117073,392652581,11535508,36901222,29093707,-7807515,1018476,909055,-109421,443001846,443001846,0,1987.7941551710999,-1.0,-0.01930157076600621
2016-06-14,1976.8,1982.32,1965.34,1972.03,439936556,1249481895255852,7373412,4450764,-2922648,2968189,1860714,-1107475,5077483,5929395,851912,1718969,1022894,-696075,438429,166300,-272129,206228,109414,-96814,5236870,6438910,1202040,23019580,19978391,-3041189,1800499,2259641,459142,377055320,386676188,9620868,37056004,30004346,-7051658,1005153,1017990,12837,439936556,439936556,0,1986.2945911404865,-1.0,-0.003558515456962406
2016-06-15,1972.0,1975.87,1960.97,1968.83,376769046,1247663847952065,7013252,4298335,-2714917,2449428,1750135,-699293,4206804,3335257,-871547,1983883,1319259,-664624,211228,165776,-45452,332363,232024,-100339,5132446,5897846,765400,21329404,16998632,-4330772,1746966,2282286,535320,320592579,327222235,6629656,32417737,29625646,-2792091,682360,640247,-42113,376769046,376769046,0,1984.6332732709661,-1.0,-0.0016240113596068708
2016-06-16,1971.53,1974.01,1944.8,1951.99,438794483,1237245629956857,8031385,3791000,-4240385,2275492,2111860,-163632,2990942,3068522,77580,1289640,1449316,159676,365462,184639,-180823,238319,222518,-15801,4309299,4670038,360739,19500539,15497893,-4002646,2001067,2843026,841959,380638406,385453613,4815207,36019115,34163308,-1855807,635356,836643,201287,438794483,438794483,0,1981.5280844481383,-1.0,-0.008590092659906276
